Start date,End date,Germany/Luxembourg [Eur/MWh],Forecasted prices [Eur/MWh]
02/01/2024 10:30,02/01/2024 10:45,89.9,79.1
02/01/2024 10:45,02/01/2024 11:00,89.9,99.8
02/01/2024 11:00,02/01/2024 11:15,90.0,102.5
02/01/2024 11:15,02/01/2024 11:30,87.4,83.9
02/01/2024 11:30,02/01/2024 11:45,87.4,86.5
02/01/2024 11:45,02/01/2024 12:00,44.0,42.2
02/01/2024 12:00,02/01/2024 12:15,89.9,98.0
02/01/2024 12:15,02/01/2024 12:30,87.4,79.6
02/01/2024 12:30,02/01/2024 12:45,84.9,84.9
02/01/2024 12:45,02/01/2024 13:00,27.6,23.7
02/01/2024 13:00,02/01/2024 13:15,69.9,65.0
02/01/2024 13:15,02/01/2024 13:30,30.1,29.8
02/01/2024 13:30,02/01/2024 13:45,82.4,90.7
02/01/2024 13:45,02/01/2024 14:00,79.9,90.3
02/01/2024 14:00,02/01/2024 14:15,82.4,91.5
02/01/2024 14:15,02/01/2024 14:30,82.4,84.1
02/01/2024 14:30,02/01/2024 14:45,30.1,32.5
02/01/2024 14:45,02/01/2024 15:00,66.8,67.4
02/01/2024 15:00,02/01/2024 15:15,65.6,64.9
02/01/2024 15:15,02/01/2024 15:30,82.4,74.2
02/01/2024 15:30,02/01/2024 15:45,87.4,100.5
02/01/2024 15:45,02/01/2024 16:00,42.6,47.7
02/01/2024 16:00,02/01/2024 16:15,79.9,87.9
02/01/2024 16:15,02/01/2024 16:30,87.4,78.7
02/01/2024 16:30,02/01/2024 16:45,65.3,73.7
02/01/2024 16:45,02/01/2024 17:00,73.4,79.3
02/01/2024 17:00,02/01/2024 17:15,71.7,62.4
02/01/2024 17:15,02/01/2024 17:30,42.6,40.9
02/01/2024 17:30,02/01/2024 17:45,102.4,105.5
02/01/2024 17:45,02/01/2024 18:00,107.4,121.4
02/01/2024 18:00,02/01/2024 18:15,99.9,99.9
02/01/2024 18:15,02/01/2024 18:30,76.2,76.2
02/01/2024 18:30,02/01/2024 18:45,99.9,100.9
02/01/2024 18:45,02/01/2024 19:00,47.6,54.2
02/01/2024 19:00,02/01/2024 19:15,104.9,96.5
02/01/2024 19:15,02/01/2024 19:30,100.4,103.4
02/01/2024 19:30,02/01/2024 19:45,45.1,39.2
02/01/2024 19:45,02/01/2024 20:00,40.0,42.4
02/01/2024 20:00,02/01/2024 20:15,130.0,145.6
02/01/2024 20:15,02/01/2024 20:30,97.5,98.5
02/01/2024 20:30,02/01/2024 20:45,44.6,45.0
02/01/2024 20:45,02/01/2024 21:00,30.1,31.6
02/01/2024 21:00,02/01/2024 21:15,97.4,105.2
02/01/2024 21:15,02/01/2024 21:30,79.1,90.9
02/01/2024 21:30,02/01/2024 21:45,82.4,70.0
02/01/2024 21:45,02/01/2024 22:00,25.1,27.1
02/01/2024 22:00,02/01/2024 22:15,120.0,123.6
02/01/2024 22:15,02/01/2024 22:30,85.0,84.1
02/01/2024 22:30,02/01/2024 22:45,25.1,26.1
02/01/2024 22:45,02/01/2024 23:00,20.1,20.1
02/01/2024 23:00,02/01/2024 23:15,87.4,79.6
02/01/2024 23:15,02/01/2024 23:30,79.9,90.3
02/01/2024 23:30,02/01/2024 23:45,57.6,63.3
02/01/2024 23:45,03/01/2024 00:00,15.1,16.4
03/01/2024 00:00,03/01/2024 00:15,44.9,40.0
03/01/2024 00:15,03/01/2024 00:30,0.1,0.1
03/01/2024 00:30,03/01/2024 00:45,-0.1,-0.1
03/01/2024 00:45,03/01/2024 01:00,-22.3,-23.4
03/01/2024 01:00,03/01/2024 01:15,14.4,13.9
03/01/2024 01:15,03/01/2024 01:30,0.0,0.0
03/01/2024 01:30,03/01/2024 01:45,-0.1,-0.1
03/01/2024 01:45,03/01/2024 02:00,-0.1,-0.1
03/01/2024 02:00,03/01/2024 02:15,2.1,2.1
03/01/2024 02:15,03/01/2024 02:30,0.0,0.0
03/01/2024 02:30,03/01/2024 02:45,0.0,0.0
03/01/2024 02:45,03/01/2024 03:00,-0.1,-0.1
03/01/2024 03:00,03/01/2024 03:15,0.0,0.0
03/01/2024 03:15,03/01/2024 03:30,-0.1,-0.1
03/01/2024 03:30,03/01/2024 03:45,-0.1,-0.1
03/01/2024 03:45,03/01/2024 04:00,-0.1,-0.1
03/01/2024 04:00,03/01/2024 04:15,-0.1,-0.1
03/01/2024 04:15,03/01/2024 04:30,-17.3,-17.5
03/01/2024 04:30,03/01/2024 04:45,0.0,0.0
03/01/2024 04:45,03/01/2024 05:00,19.9,17.3
03/01/2024 05:00,03/01/2024 05:15,-25.0,-22.2
03/01/2024 05:15,03/01/2024 05:30,-17.5,-18.9
03/01/2024 05:30,03/01/2024 05:45,16.5,18.2
03/01/2024 05:45,03/01/2024 06:00,57.4,61.4
03/01/2024 06:00,03/01/2024 06:15,-29.9,-34.4
03/01/2024 06:15,03/01/2024 06:30,-0.1,-0.1
03/01/2024 06:30,03/01/2024 06:45,26.4,30.1
03/01/2024 06:45,03/01/2024 07:00,69.9,69.2
03/01/2024 07:00,03/01/2024 07:15,6.7,6.3
03/01/2024 07:15,03/01/2024 07:30,5.1,4.9
03/01/2024 07:30,03/01/2024 07:45,59.9,62.3
03/01/2024 07:45,03/01/2024 08:00,82.4,93.2
03/01/2024 08:00,03/01/2024 08:15,34.3,34.3
03/01/2024 08:15,03/01/2024 08:30,57.4,56.3
03/01/2024 08:30,03/01/2024 08:45,62.4,53.7
03/01/2024 08:45,03/01/2024 09:00,62.4,63.1
03/01/2024 09:00,03/01/2024 09:15,50.1,54.6
03/01/2024 09:15,03/01/2024 09:30,54.2,60.2
03/01/2024 09:30,03/01/2024 09:45,54.9,51.6
03/01/2024 09:45,03/01/2024 10:00,52.4,52.4
03/01/2024 10:00,03/01/2024 10:15,54.9,62.0
03/01/2024 10:15,03/01/2024 10:30,38.5,36.5
03/01/2024 10:30,03/01/2024 10:45,42.9,46.8
03/01/2024 10:45,03/01/2024 11:00,54.9,49.4
03/01/2024 11:00,03/01/2024 11:15,20.1,23.1
03/01/2024 11:15,03/01/2024 11:30,39.2,35.7
03/01/2024 11:30,03/01/2024 11:45,52.4,55.5
03/01/2024 11:45,03/01/2024 12:00,52.4,48.2
03/01/2024 12:00,03/01/2024 12:15,52.4,48.7
03/01/2024 12:15,03/01/2024 12:30,49.9,54.4
03/01/2024 12:30,03/01/2024 12:45,29.3,30.8
03/01/2024 12:45,03/01/2024 13:00,20.1,18.3
03/01/2024 13:00,03/01/2024 13:15,49.9,42.9
03/01/2024 13:15,03/01/2024 13:30,52.4,54.5
03/01/2024 13:30,03/01/2024 13:45,37.5,42.7
03/01/2024 13:45,03/01/2024 14:00,25.1,28.9
03/01/2024 14:00,03/01/2024 14:15,42.4,45.0
03/01/2024 14:15,03/01/2024 14:30,39.2,33.7
03/01/2024 14:30,03/01/2024 14:45,30.1,30.4
03/01/2024 14:45,03/01/2024 15:00,55.2,59.1
03/01/2024 15:00,03/01/2024 15:15,44.9,49.0
03/01/2024 15:15,03/01/2024 15:30,61.1,62.3
03/01/2024 15:30,03/01/2024 15:45,62.2,57.2
03/01/2024 15:45,03/01/2024 16:00,55.1,59.0
03/01/2024 16:00,03/01/2024 16:15,59.1,58.5
03/01/2024 16:15,03/01/2024 16:30,40.1,42.9
03/01/2024 16:30,03/01/2024 16:45,84.9,82.4
03/01/2024 16:45,03/01/2024 17:00,85.4,96.5
03/01/2024 17:00,03/01/2024 17:15,74.9,81.6
03/01/2024 17:15,03/01/2024 17:30,82.4,78.3
03/01/2024 17:30,03/01/2024 17:45,89.9,91.7
03/01/2024 17:45,03/01/2024 18:00,63.8,62.5
03/01/2024 18:00,03/01/2024 18:15,84.9,83.2
03/01/2024 18:15,03/01/2024 18:30,68.3,77.8
03/01/2024 18:30,03/01/2024 18:45,89.9,83.6
03/01/2024 18:45,03/01/2024 19:00,80.9,89.0
03/01/2024 19:00,03/01/2024 19:15,92.4,79.5
03/01/2024 19:15,03/01/2024 19:30,89.9,103.4
03/01/2024 19:30,03/01/2024 19:45,68.6,72.0
03/01/2024 19:45,03/01/2024 20:00,45.1,47.3
03/01/2024 20:00,03/01/2024 20:15,114.9,98.8
03/01/2024 20:15,03/01/2024 20:30,82.9,82.9
03/01/2024 20:30,03/01/2024 20:45,40.1,34.4
03/01/2024 20:45,03/01/2024 21:00,30.1,29.7
03/01/2024 21:00,03/01/2024 21:15,85.0,86.7
03/01/2024 21:15,03/01/2024 21:30,72.4,79.7
03/01/2024 21:30,03/01/2024 21:45,64.9,58.4
03/01/2024 21:45,03/01/2024 22:00,36.2,32.3
03/01/2024 22:00,03/01/2024 22:15,100.0,88.0
03/01/2024 22:15,03/01/2024 22:30,67.5,73.5
03/01/2024 22:30,03/01/2024 22:45,57.4,64.9
03/01/2024 22:45,03/01/2024 23:00,32.1,35.9
03/01/2024 23:00,03/01/2024 23:15,69.9,59.4
03/01/2024 23:15,03/01/2024 23:30,59.9,54.5
03/01/2024 23:30,03/01/2024 23:45,49.9,55.9
03/01/2024 23:45,04/01/2024 00:00,43.5,39.2
04/01/2024 00:00,04/01/2024 00:15,60.0,65.9
04/01/2024 00:15,04/01/2024 00:30,49.9,57.4
04/01/2024 00:30,04/01/2024 00:45,42.4,44.1
04/01/2024 00:45,04/01/2024 01:00,29.9,30.8
04/01/2024 01:00,04/01/2024 01:15,50.0,55.5
04/01/2024 01:15,04/01/2024 01:30,44.9,46.7
04/01/2024 01:30,04/01/2024 01:45,34.9,34.9
04/01/2024 01:45,04/01/2024 02:00,29.9,29.0
04/01/2024 02:00,04/01/2024 02:15,41.6,43.3
04/01/2024 02:15,04/01/2024 02:30,29.7,31.2
04/01/2024 02:30,04/01/2024 02:45,27.0,23.0
04/01/2024 02:45,04/01/2024 03:00,21.6,24.4
04/01/2024 03:00,04/01/2024 03:15,27.7,26.3
04/01/2024 03:15,04/01/2024 03:30,16.2,18.6
04/01/2024 03:30,04/01/2024 03:45,23.1,25.9
04/01/2024 03:45,04/01/2024 04:00,27.7,24.9
04/01/2024 04:00,04/01/2024 04:15,31.8,36.2
04/01/2024 04:15,04/01/2024 04:30,24.7,22.2
04/01/2024 04:30,04/01/2024 04:45,34.9,32.8
04/01/2024 04:45,04/01/2024 05:00,40.0,45.2
04/01/2024 05:00,04/01/2024 05:15,6.5,7.0
04/01/2024 05:15,04/01/2024 05:30,34.7,37.8
04/01/2024 05:30,04/01/2024 05:45,47.6,46.6
04/01/2024 05:45,04/01/2024 06:00,99.4,97.4
04/01/2024 06:00,04/01/2024 06:15,25.0,21.5
04/01/2024 06:15,04/01/2024 06:30,54.6,60.6
04/01/2024 06:30,04/01/2024 06:45,74.5,79.7
04/01/2024 06:45,04/01/2024 07:00,107.4,120.3
04/01/2024 07:00,04/01/2024 07:15,41.3,38.8
04/01/2024 07:15,04/01/2024 07:30,79.9,71.9
04/01/2024 07:30,04/01/2024 07:45,87.2,97.7
04/01/2024 07:45,04/01/2024 08:00,119.9,133.1
04/01/2024 08:00,04/01/2024 08:15,60.9,68.2
04/01/2024 08:15,04/01/2024 08:30,75.6,80.1
04/01/2024 08:30,04/01/2024 08:45,102.4,87.1
04/01/2024 08:45,04/01/2024 09:00,109.9,103.3
04/01/2024 09:00,04/01/2024 09:15,70.0,63.0
04/01/2024 09:15,04/01/2024 09:30,78.5,80.1
04/01/2024 09:30,04/01/2024 09:45,100.1,96.1
04/01/2024 09:45,04/01/2024 10:00,105.1,115.6
04/01/2024 10:00,04/01/2024 10:15,78.9,86.8
04/01/2024 10:15,04/01/2024 10:30,80.0,90.4
04/01/2024 10:30,04/01/2024 10:45,99.3,100.3
04/01/2024 10:45,04/01/2024 11:00,92.5,84.2
04/01/2024 11:00,04/01/2024 11:15,92.5,90.7
04/01/2024 11:15,04/01/2024 11:30,85.0,79.9
04/01/2024 11:30,04/01/2024 11:45,85.0,96.0
04/01/2024 11:45,04/01/2024 12:00,85.0,76.5
04/01/2024 12:00,04/01/2024 12:15,87.4,99.6
04/01/2024 12:15,04/01/2024 12:30,84.9,77.3
04/01/2024 12:30,04/01/2024 12:45,84.9,97.6
04/01/2024 12:45,04/01/2024 13:00,77.2,88.0
04/01/2024 13:00,04/01/2024 13:15,80.0,81.6
04/01/2024 13:15,04/01/2024 13:30,82.5,87.4
04/01/2024 13:30,04/01/2024 13:45,86.6,78.8
04/01/2024 13:45,04/01/2024 14:00,87.5,76.1
04/01/2024 14:00,04/01/2024 14:15,90.9,85.4
04/01/2024 14:15,04/01/2024 14:30,82.5,85.0
04/01/2024 14:30,04/01/2024 14:45,90.0,93.6
04/01/2024 14:45,04/01/2024 15:00,100.0,110.0
04/01/2024 15:00,04/01/2024 15:15,81.1,88.4
04/01/2024 15:15,04/01/2024 15:30,90.0,100.8
04/01/2024 15:30,04/01/2024 15:45,102.5,102.5
04/01/2024 15:45,04/01/2024 16:00,121.7,125.3
04/01/2024 16:00,04/01/2024 16:15,104.9,112.3
04/01/2024 16:15,04/01/2024 16:30,97.5,109.2
04/01/2024 16:30,04/01/2024 16:45,129.9,123.4
04/01/2024 16:45,04/01/2024 17:00,115.7,119.1
04/01/2024 17:00,04/01/2024 17:15,111.7,120.6
04/01/2024 17:15,04/01/2024 17:30,105.0,91.3
04/01/2024 17:30,04/01/2024 17:45,132.4,123.2
04/01/2024 17:45,04/01/2024 18:00,135.0,149.8
04/01/2024 18:00,04/01/2024 18:15,144.4,137.2
04/01/2024 18:15,04/01/2024 18:30,125.7,139.6
04/01/2024 18:30,04/01/2024 18:45,132.5,141.7
04/01/2024 18:45,04/01/2024 19:00,134.8,134.8
04/01/2024 19:00,04/01/2024 19:15,158.2,134.5
04/01/2024 19:15,04/01/2024 19:30,135.0,152.5
04/01/2024 19:30,04/01/2024 19:45,114.3,122.3
04/01/2024 19:45,04/01/2024 20:00,110.0,108.9
04/01/2024 20:00,04/01/2024 20:15,184.9,201.5
04/01/2024 20:15,04/01/2024 20:30,112.4,103.4
04/01/2024 20:30,04/01/2024 20:45,104.9,103.9
04/01/2024 20:45,04/01/2024 21:00,70.1,63.8
04/01/2024 21:00,04/01/2024 21:15,119.4,111.0
04/01/2024 21:15,04/01/2024 21:30,104.9,91.3
04/01/2024 21:30,04/01/2024 21:45,99.9,90.9
04/01/2024 21:45,04/01/2024 22:00,88.1,83.7
04/01/2024 22:00,04/01/2024 22:15,121.1,112.6
04/01/2024 22:15,04/01/2024 22:30,102.4,93.2
04/01/2024 22:30,04/01/2024 22:45,94.9,86.4
04/01/2024 22:45,04/01/2024 23:00,60.1,54.7
04/01/2024 23:00,04/01/2024 23:15,107.4,116.0
04/01/2024 23:15,04/01/2024 23:30,97.4,108.1
04/01/2024 23:30,04/01/2024 23:45,89.9,82.7
04/01/2024 23:45,05/01/2024 00:00,53.6,61.7
05/01/2024 00:00,05/01/2024 00:15,112.4,109.1
05/01/2024 00:15,05/01/2024 00:30,92.7,82.5
05/01/2024 00:30,05/01/2024 00:45,76.5,74.2
05/01/2024 00:45,05/01/2024 01:00,62.0,64.5
05/01/2024 01:00,05/01/2024 01:15,102.5,103.5
05/01/2024 01:15,05/01/2024 01:30,92.4,96.1
05/01/2024 01:30,05/01/2024 01:45,73.7,78.9
05/01/2024 01:45,05/01/2024 02:00,55.6,58.4
05/01/2024 02:00,05/01/2024 02:15,94.9,94.9
05/01/2024 02:15,05/01/2024 02:30,84.9,85.7
05/01/2024 02:30,05/01/2024 02:45,77.4,74.3
05/01/2024 02:45,05/01/2024 03:00,56.0,59.9
05/01/2024 03:00,05/01/2024 03:15,84.9,80.7
05/01/2024 03:15,05/01/2024 03:30,74.3,70.6
05/01/2024 03:30,05/01/2024 03:45,77.4,82.0
05/01/2024 03:45,05/01/2024 04:00,72.4,65.9
05/01/2024 04:00,05/01/2024 04:15,79.9,71.9
05/01/2024 04:15,05/01/2024 04:30,76.3,82.4
05/01/2024 04:30,05/01/2024 04:45,74.9,81.7
05/01/2024 04:45,05/01/2024 05:00,77.4,83.6
05/01/2024 05:00,05/01/2024 05:15,42.0,36.5
05/01/2024 05:15,05/01/2024 05:30,51.9,54.0
05/01/2024 05:30,05/01/2024 05:45,82.5,87.4
05/01/2024 05:45,05/01/2024 06:00,144.8,163.7
05/01/2024 06:00,05/01/2024 06:15,43.2,37.2
05/01/2024 06:15,05/01/2024 06:30,79.4,85.0
05/01/2024 06:30,05/01/2024 06:45,97.4,95.5
05/01/2024 06:45,05/01/2024 07:00,119.9,113.9
05/01/2024 07:00,05/01/2024 07:15,72.5,76.8
05/01/2024 07:15,05/01/2024 07:30,94.0,89.3
05/01/2024 07:30,05/01/2024 07:45,107.4,91.3
05/01/2024 07:45,05/01/2024 08:00,122.4,122.4
05/01/2024 08:00,05/01/2024 08:15,102.5,96.3
05/01/2024 08:15,05/01/2024 08:30,105.0,120.7
05/01/2024 08:30,05/01/2024 08:45,109.5,109.5
05/01/2024 08:45,05/01/2024 09:00,103.6,109.8
05/01/2024 09:00,05/01/2024 09:15,112.4,129.3
05/01/2024 09:15,05/01/2024 09:30,104.9,110.2
05/01/2024 09:30,05/01/2024 09:45,97.4,105.2
05/01/2024 09:45,05/01/2024 10:00,95.9,88.3
05/01/2024 10:00,05/01/2024 10:15,105.9,100.6
05/01/2024 10:15,05/01/2024 10:30,100.0,114.0
05/01/2024 10:30,05/01/2024 10:45,97.5,93.6
05/01/2024 10:45,05/01/2024 11:00,95.0,86.4
05/01/2024 11:00,05/01/2024 11:15,98.5,98.5
05/01/2024 11:15,05/01/2024 11:30,97.2,96.2
05/01/2024 11:30,05/01/2024 11:45,93.2,92.3
05/01/2024 11:45,05/01/2024 12:00,95.7,103.4
05/01/2024 12:00,05/01/2024 12:15,91.7,80.7
05/01/2024 12:15,05/01/2024 12:30,93.6,81.4
05/01/2024 12:30,05/01/2024 12:45,90.5,98.6
05/01/2024 12:45,05/01/2024 13:00,90.0,82.8
05/01/2024 13:00,05/01/2024 13:15,95.0,88.4
05/01/2024 13:15,05/01/2024 13:30,92.6,99.1
05/01/2024 13:30,05/01/2024 13:45,88.5,89.4
05/01/2024 13:45,05/01/2024 14:00,86.7,86.7
05/01/2024 14:00,05/01/2024 14:15,94.1,89.4
05/01/2024 14:15,05/01/2024 14:30,93.2,79.2
05/01/2024 14:30,05/01/2024 14:45,89.7,95.1
05/01/2024 14:45,05/01/2024 15:00,86.2,74.1
05/01/2024 15:00,05/01/2024 15:15,92.1,83.8
05/01/2024 15:15,05/01/2024 15:30,99.1,113.0
05/01/2024 15:30,05/01/2024 15:45,92.1,89.3
05/01/2024 15:45,05/01/2024 16:00,99.9,113.9
05/01/2024 16:00,05/01/2024 16:15,90.0,94.5
05/01/2024 16:15,05/01/2024 16:30,100.0,113.0
05/01/2024 16:30,05/01/2024 16:45,106.9,95.1
05/01/2024 16:45,05/01/2024 17:00,117.4,104.5
05/01/2024 17:00,05/01/2024 17:15,107.4,115.0
05/01/2024 17:15,05/01/2024 17:30,110.0,119.8
05/01/2024 17:30,05/01/2024 17:45,116.0,112.5
05/01/2024 17:45,05/01/2024 18:00,126.5,116.4
05/01/2024 18:00,05/01/2024 18:15,122.5,118.8
05/01/2024 18:15,05/01/2024 18:30,115.0,119.6
05/01/2024 18:30,05/01/2024 18:45,112.7,125.1
